Overall Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Garage Cars,Garage Area,Year Built,Full Bath,Bedroom AbvGr,SalePrice
6,1224,816.0,816,1.0,280.0,1948,1,3,132000
5,1246,1246.0,1246,1.0,305.0,1959,1,3,154000
5,1385,910.0,910,2.0,720.0,1952,2,4,166000
5,900,900.0,900,2.0,576.0,1951,1,3,134800
6,1116,1116.0,1116,2.0,440.0,1962,1,3,160000
5,1175,1175.0,1175,2.0,484.0,1960,1,3,148000
6,1395,1395.0,1395,2.0,440.0,1963,1,2,192000
6,1839,756.0,1051,2.0,442.0,1966,1,4,155000
4,1844,709.0,1157,1.0,240.0,1900,1,3,80400
4,1140,576.0,792,0.0,0.0,1910,1,3,96500
5,936,936.0,936,0.0,0.0,1920,1,2,109500
5,1028,1008.0,1028,2.0,360.0,1927,1,2,115000
5,1347,1347.0,1347,2.0,551.0,1957,1,3,143000
3,1605,840.0,840,1.0,379.0,1915,2,3,107400
4,747,747.0,747,1.0,220.0,1945,1,2,80000
5,804,788.0,804,1.0,240.0,1940,1,2,119000
5,1316,926.0,926,2.0,484.0,1929,1,3,130000
6,1251,827.0,827,1.0,240.0,1938,1,3,119000
5,1633,1027.0,1027,1.0,240.0,1948,1,3,129000
5,1245,1008.0,1060,1.0,315.0,1920,1,3,100000
2,832,678.0,832,2.0,780.0,1923,1,2,12789
6,720,624.0,720,2.0,484.0,1928,1,2,105900
8,1566,930.0,930,1.0,288.0,1900,2,3,150000
5,1652,686.0,966,1.0,416.0,1915,2,4,139000
8,2268,346.0,1157,2.0,624.0,1890,3,3,240000
5,2256,840.0,1128,0.0,0.0,1910,2,4,76500
6,1236,912.0,1236,2.0,923.0,1957,1,2,149700
4,1363,622.0,741,2.0,528.0,1910,1,3,125500
4,2290,777.0,1246,2.0,560.0,1885,2,4,122500
6,1470,738.0,868,2.0,624.0,1922,1,2,140750
5,1612,988.0,1030,1.0,363.0,1950,1,3,128500
7,2068,1108.0,1160,1.0,315.0,1922,1,3,209500
4,765,765.0,765,1.0,200.0,1925,1,2,87000
6,1132,608.0,608,1.0,240.0,1939,1,2,134000
6,1196,572.0,848,2.0,576.0,1940,1,3,128000
5,1453,835.0,955,1.0,240.0,1942,1,3,132000
6,1416,780.0,780,1.0,312.0,1948,1,3,139900
5,1040,528.0,548,2.0,624.0,1936,1,2,123900
5,1536,928.0,928,2.0,480.0,1930,2,4,138400
6,1068,1124.0,1068,1.0,288.0,1923,1,2,109500
7,1710,576.0,902,2.0,480.0,1921,2,3,140000
4,1962,888.0,888,2.0,572.0,1915,1,4,149500
6,1560,780.0,780,0.0,0.0,1912,1,3,159900
6,1324,662.0,662,1.0,180.0,1920,1,3,122000
5,816,816.0,816,2.0,516.0,1963,1,2,110000
4,1092,0.0,372,0.0,0.0,1930,2,3,55000
5,1812,360.0,1032,2.0,672.0,1900,2,4,140000
7,2403,1032.0,1207,1.0,349.0,1940,2,4,244400
5,1675,1422.0,1675,1.0,365.0,1959,2,3,173000
5,1224,689.0,725,1.0,180.0,1917,1,3,107500
5,1392,1212.0,1212,0.0,0.0,1915,1,3,100000
6,919,600.0,600,1.0,231.0,1940,1,3,95000
4,1884,707.0,942,0.0,0.0,1907,1,4,93369
5,1680,856.0,936,2.0,450.0,1910,2,2,114900
5,1020,780.0,780,0.0,0.0,1875,1,2,94000
4,1832,1832.0,1832,0.0,0.0,1967,2,4,136000
4,1768,1768.0,1768,0.0,0.0,1968,2,4,136500
5,1039,1039.0,1039,2.0,504.0,1965,1,3,131500
5,1392,1392.0,1392,2.0,528.0,1957,1,3,121500
5,912,912.0,912,1.0,336.0,1967,1,3,125000
5,1060,1060.0,1060,1.0,270.0,1968,1,3,154000
5,892,864.0,892,1.0,416.0,1966,1,3,137900
6,1352,663.0,663,1.0,299.0,1969,1,4,158000
5,864,864.0,864,1.0,280.0,1968,1,2,137250
5,1373,1319.0,1373,2.0,591.0,1978,1,3,160250
5,1440,720.0,720,2.0,480.0,1968,1,4,163000
6,1386,672.0,672,2.0,440.0,1978,2,3,158900
7,2260,1306.0,1306,2.0,533.0,1996,2,3,328000
7,1483,1420.0,1483,2.0,690.0,1977,1,1,270000
4,756,660.0,756,2.0,440.0,1927,1,2,85000
4,1067,1067.0,1067,2.0,436.0,1950,2,2,128000
7,1524,1332.0,1332,2.0,586.0,1979,0,0,260000
6,1981,1117.0,1117,2.0,522.0,1978,2,4,230000
3,1610,972.0,1052,1.0,480.0,1938,2,4,124000
5,835,458.0,835,1.0,366.0,1920,1,2,83000
6,1074,663.0,1074,1.0,467.0,1950,1,3,144500
5,1144,1144.0,1144,1.0,596.0,1956,1,3,129000
4,1531,756.0,1169,1.0,209.0,1947,1,3,127000
5,1172,1172.0,1172,1.0,366.0,1954,1,3,128000
6,1212,1212.0,1212,2.0,460.0,2009,2,3,186000
7,1508,1508.0,1508,2.0,572.0,2009,1,1,308030
5,1298,1250.0,1298,2.0,504.0,1964,2,3,114000
4,930,0.0,930,1.0,308.0,1946,1,2,84900
6,1732,741.0,977,2.0,476.0,1985,2,3,178000
7,1433,1433.0,1433,2.0,528.0,1987,1,1,270000
6,1802,946.0,964,4.0,1017.0,1993,2,3,218000
7,1949,1050.0,1062,2.0,574.0,1993,2,3,236000
6,996,936.0,996,2.0,564.0,1992,1,2,147000
8,1694,1694.0,1694,3.0,776.0,2008,2,3,245350
7,1208,1187.0,1208,2.0,632.0,2006,2,2,206000
7,1226,1226.0,1226,3.0,740.0,2009,2,3,198900
7,1222,1222.0,1222,2.0,615.0,2010,2,2,187000
7,3222,1673.0,1699,3.0,594.0,1990,3,5,320000
6,1445,676.0,831,2.0,484.0,1900,2,3,138500
6,1052,1010.0,1052,2.0,440.0,1971,1,3,155000
5,965,870.0,965,2.0,580.0,1996,1,2,159000
7,1692,878.0,892,2.0,513.0,1997,2,3,191000
6,1682,804.0,804,2.0,523.0,1998,2,3,200500
5,1026,1026.0,1026,1.0,308.0,1977,1,3,150000
6,1392,689.0,689,1.0,299.0,1977,1,3,161750
5,894,894.0,894,1.0,308.0,1976,1,3,128200
5,876,876.0,876,2.0,484.0,1972,1,3,127000
8,1978,1978.0,1978,3.0,850.0,2003,2,3,318000
8,1601,1581.0,1601,2.0,670.0,2001,2,3,272000
7,1829,941.0,941,2.0,613.0,2003,2,3,237000
7,2098,1040.0,1044,2.0,621.0,1997,2,4,240000
7,1661,1649.0,1661,2.0,598.0,1998,2,3,224900
6,848,848.0,848,2.0,420.0,2003,1,1,143750
6,848,848.0,848,2.0,420.0,2004,1,1,143000
8,1668,1657.0,1668,2.0,502.0,2003,2,3,232000
7,1484,1473.0,1484,2.0,606.0,2004,2,3,213000
7,1414,1414.0,1414,2.0,494.0,2004,2,3,185500
3,640,0.0,640,1.0,240.0,1945,1,2,84900
5,992,381.0,992,1.0,319.0,1954,1,3,155891
5,1664,0.0,1664,0.0,0.0,1965,2,4,100000
5,1196,1196.0,1196,1.0,336.0,1968,1,3,144000
4,1120,744.0,792,2.0,480.0,1948,1,2,64000
6,1096,1008.0,1096,1.0,352.0,1975,1,3,125200
6,1117,1029.0,1117,2.0,672.0,1976,1,3,107000
4,960,960.0,960,0.0,0.0,1958,1,3,90000
4,1121,1121.0,1121,2.0,440.0,2003,2,2,140000
6,1487,735.0,798,1.0,220.0,1945,1,3,113000
4,924,672.0,672,1.0,280.0,1941,1,2,80000
5,1526,1216.0,1526,1.0,364.0,1957,1,4,144500
5,1296,1107.0,1296,1.0,260.0,1924,2,2,104000
6,1647,806.0,841,1.0,216.0,1915,1,4,128000
3,864,864.0,864,1.0,200.0,1914,1,2,58500
5,1691,1026.0,1026,1.0,308.0,1924,2,3,127000
6,856,856.0,856,2.0,399.0,1939,1,2,126000
4,2650,0.0,862,0.0,0.0,1967,3,6,160000
5,1666,894.0,894,0.0,0.0,1931,1,3,100000
6,2447,804.0,1699,1.0,336.0,1919,2,4,169000
7,2133,1528.0,1225,1.0,312.0,1941,1,4,257500
5,2177,1032.0,1102,2.0,484.0,1950,2,5,215000
7,2340,1152.0,1188,1.0,252.0,1941,2,4,266500
7,1902,1902.0,1902,2.0,567.0,1959,2,3,335000
7,1652,423.0,896,2.0,473.0,1994,2,3,203135
8,1034,982.0,1034,2.0,598.0,1989,1,1,185000
8,1191,1191.0,1191,2.0,531.0,1989,2,2,162500
7,1801,1501.0,1801,2.0,484.0,1959,2,1,289000
4,1154,796.0,796,1.0,240.0,1922,1,3,125500
2,540,480.0,540,1.0,200.0,1941,1,1,82000
6,1107,629.0,727,1.0,625.0,1921,1,2,110000
4,1128,698.0,698,2.0,528.0,1920,1,2,68400
4,1178,859.0,859,1.0,384.0,1900,1,2,102776
5,1044,540.0,1044,2.0,504.0,1952,1,2,55993
4,952,756.0,952,1.0,330.0,1896,1,3,50138
8,1646,1594.0,1646,2.0,525.0,2004,2,2,246000
8,1916,1049.0,1036,3.0,741.0,1998,2,3,254900
6,1285,1243.0,1285,2.0,473.0,1977,2,3,190000
7,1560,1560.0,1560,2.0,573.0,2003,2,3,201000
6,1034,1012.0,1034,3.0,888.0,1976,1,3,169900
6,2048,1958.0,2048,2.0,776.0,1976,3,5,170000
5,1687,747.0,1687,2.0,572.0,1948,1,3,160000
7,1346,1336.0,1346,3.0,660.0,2008,2,3,220000
7,1214,1214.0,1214,2.0,520.0,2009,2,2,179781
5,1444,384.0,744,2.0,400.0,2006,2,3,174000
8,1968,774.0,774,3.0,680.0,2009,2,4,269500
7,1894,817.0,824,2.0,510.0,2002,2,4,214900
8,1908,967.0,993,2.0,431.0,2002,2,4,202900
9,2018,2002.0,2018,3.0,746.0,2008,2,3,378500
5,1264,1068.0,1264,2.0,528.0,1965,1,2,169000
5,1430,1430.0,1430,2.0,624.0,2004,2,3,173500
6,1824,912.0,912,0.0,0.0,1971,2,4,139000
5,1344,1344.0,1344,2.0,686.0,1999,2,3,166500
4,1092,546.0,546,1.0,286.0,1973,1,3,83500
5,945,945.0,945,1.0,253.0,1973,1,2,119500
5,1112,536.0,536,1.0,336.0,1976,1,3,85000
4,1092,546.0,546,0.0,0.0,1970,1,3,76000
4,630,630.0,630,0.0,0.0,1972,1,1,75500
4,1092,546.0,546,0.0,0.0,1970,1,3,88250
4,1092,546.0,546,1.0,286.0,1972,1,3,85500
5,874,864.0,874,1.0,352.0,1971,1,3,130000
5,1188,1188.0,1188,1.0,312.0,1962,1,3,157900
5,833,833.0,833,2.0,495.0,1984,1,2,149900
5,2432,1216.0,1216,2.0,616.0,1985,4,4,159000
5,1274,624.0,624,2.0,576.0,1991,1,3,136000
5,1479,864.0,864,1.0,275.0,1969,2,5,161000
8,1803,1679.0,1803,2.0,482.0,1994,2,3,285000
6,1797,1152.0,1152,2.0,616.0,1993,2,3,231000
6,882,882.0,882,1.0,502.0,1956,1,2,124500
6,1434,1434.0,1434,2.0,528.0,1974,2,4,157000
8,2704,1952.0,2000,2.0,538.0,1972,2,4,345000
6,1608,945.0,945,2.0,470.0,1997,2,3,189500
8,2283,1008.0,1008,3.0,632.0,2003,2,4,270000
7,1628,384.0,958,2.0,390.0,1996,2,3,189000
9,1746,1746.0,1746,3.0,758.0,2006,2,3,377500
7,1474,384.0,804,2.0,400.0,1995,2,3,168500
8,2522,2208.0,2522,2.0,564.0,2004,2,1,375000
8,1659,1501.0,1659,2.0,499.0,2000,2,2,278000
8,1478,1418.0,1478,2.0,495.0,1998,2,2,240000
8,1734,1587.0,1734,2.0,528.0,1995,2,2,239500
7,1382,384.0,751,2.0,396.0,1998,2,3,177500
7,1718,832.0,885,2.0,427.0,1998,2,3,185000
6,1636,952.0,952,2.0,440.0,1998,2,3,191000
6,1571,799.0,799,2.0,380.0,1993,2,3,178000
6,1470,680.0,680,2.0,420.0,1993,2,3,185000
6,1516,707.0,707,2.0,409.0,1994,2,3,181316
6,1190,1181.0,1190,2.0,430.0,1993,2,3,166000
6,1593,808.0,808,2.0,389.0,1992,2,3,178000
6,1481,702.0,702,2.0,343.0,1994,2,3,174000
6,1167,1158.0,1167,2.0,400.0,1992,2,3,173000
7,1983,978.0,1005,2.0,490.0,1999,2,3,225000
7,1442,1424.0,1442,2.0,500.0,1990,2,3,180500
8,1360,1220.0,1360,2.0,565.0,1984,1,1,187500
9,2234,2216.0,2234,3.0,1166.0,2008,2,1,501837
8,2046,2046.0,2046,3.0,834.0,2008,2,3,372500
7,1530,1530.0,1530,2.0,430.0,2005,2,3,260000
5,1934,1122.0,946,2.0,567.0,1977,2,3,185000
7,2353,845.0,1153,2.0,484.0,1980,2,4,260000
6,1586,1362.0,1586,2.0,435.0,1979,2,3,181000
7,1411,1386.0,1411,2.0,544.0,1977,2,3,82500
6,1602,1602.0,1602,2.0,529.0,1977,2,3,215000
7,2050,832.0,1154,2.0,529.0,1978,2,4,154000
6,1671,1427.0,1671,2.0,484.0,1978,2,3,200000
7,2673,1043.0,1539,2.0,441.0,1980,2,4,249000
7,1472,1372.0,1472,2.0,588.0,1980,2,3,187500
6,1707,1140.0,1707,2.0,479.0,1978,2,3,184000
8,2524,2524.0,2524,2.0,542.0,1981,2,4,278000
7,1601,1271.0,1601,2.0,478.0,1978,2,3,157000
7,1370,1090.0,1370,2.0,479.0,1976,2,3,152000
5,1868,780.0,1088,2.0,484.0,1976,2,4,197500
7,1884,926.0,1016,2.0,581.0,2003,2,3,240900
8,1935,832.0,832,2.0,552.0,2009,2,3,263435
8,1874,1058.0,1058,2.0,588.0,2000,2,3,220000
8,1811,972.0,972,2.0,565.0,2002,2,3,235000
5,1621,1621.0,1621,2.0,478.0,1975,2,3,213000
6,1116,1116.0,1116,2.0,528.0,1974,2,3,167900
7,1193,1176.0,1193,2.0,506.0,1975,2,3,158000
6,1350,1064.0,1350,2.0,478.0,1974,2,3,165000
6,2119,689.0,1378,2.0,583.0,1972,2,3,158000
5,1792,896.0,896,0.0,0.0,1974,2,4,136000
5,1002,1002.0,1002,2.0,902.0,1970,1,3,148500
6,1026,1026.0,1026,2.0,440.0,1969,1,3,156000
5,1180,1180.0,1180,2.0,477.0,1970,1,2,128000
5,1050,1043.0,1050,1.0,336.0,1971,1,3,143000
4,864,864.0,864,2.0,576.0,1970,1,3,76500
4,864,864.0,864,2.0,660.0,1970,1,3,120500
4,864,864.0,864,2.0,463.0,1970,1,3,124500
4,864,864.0,864,2.0,576.0,1971,1,2,97000
4,864,864.0,864,2.0,576.0,1971,1,3,130000
6,987,483.0,483,1.0,264.0,1973,1,2,111000
5,1365,765.0,765,2.0,440.0,1970,1,3,125000
5,1302,630.0,630,1.0,280.0,1971,2,3,112000
6,987,483.0,483,1.0,288.0,1972,1,2,97000
6,987,483.0,483,1.0,264.0,1972,1,2,118000
5,1302,630.0,630,1.0,264.0,1972,2,3,119500
6,958,958.0,958,2.0,440.0,1976,2,2,143750
6,1548,804.0,804,2.0,440.0,1976,2,3,146000
6,1456,855.0,855,2.0,440.0,1976,2,3,148500
7,1055,1057.0,1055,2.0,440.0,1975,2,2,123000
6,1322,855.0,855,2.0,440.0,1974,2,3,147000
6,1456,855.0,855,2.0,440.0,1977,2,3,137900
6,1548,804.0,804,2.0,440.0,1978,2,3,147000
6,1441,855.0,855,2.0,440.0,1978,2,3,148500
6,1456,855.0,855,2.0,440.0,1978,2,3,138000
7,836,836.0,836,1.0,345.0,1976,1,2,128500
5,892,892.0,892,1.0,288.0,1967,1,3,100000
5,1120,864.0,1120,2.0,656.0,1966,1,3,148800
10,1718,1700.0,1718,3.0,786.0,2006,2,3,337500
9,2772,1776.0,1794,3.0,754.0,2007,3,4,462000
9,3140,1926.0,1966,3.0,820.0,2008,3,4,485000
10,2402,3094.0,2402,3.0,672.0,2008,2,2,555000
9,1652,1652.0,1652,2.0,840.0,2006,2,2,325000
8,1600,1566.0,1600,3.0,890.0,2007,2,3,256300
8,2042,2042.0,2042,3.0,1390.0,2008,2,3,253293
9,2690,1365.0,1365,3.0,864.0,2009,2,3,398800
9,2184,1104.0,1130,3.0,836.0,2008,2,3,335000
9,2020,2020.0,2020,3.0,896.0,2008,2,3,404000
10,2020,2006.0,2020,3.0,900.0,2009,2,3,402861
10,2296,1722.0,1728,3.0,842.0,2008,2,3,451950
10,2674,2630.0,2674,3.0,762.0,2007,2,2,610000
9,2822,1734.0,1734,3.0,1020.0,2008,3,4,582933
9,1736,1736.0,1736,3.0,834.0,2008,2,3,360000
8,1782,1782.0,1782,3.0,932.0,2004,2,3,296000
8,2520,1508.0,1508,3.0,640.0,2007,2,5,409900
8,1717,1709.0,1717,3.0,908.0,2006,2,3,255500
9,1743,1739.0,1743,3.0,927.0,2008,2,3,335000
8,1713,1713.0,1713,3.0,856.0,2004,2,3,274900
9,1531,1504.0,1531,3.0,700.0,2006,2,2,300000
9,1808,1774.0,1808,3.0,850.0,2008,2,3,324000
9,2224,1462.0,1462,3.0,738.0,2004,2,4,350000
8,1836,1836.0,1836,3.0,862.0,2004,2,3,280000
8,1629,3206.0,1629,3.0,880.0,2003,2,3,284000
7,1760,1760.0,1760,2.0,583.0,2003,2,3,269500
7,1502,1502.0,1502,2.0,644.0,2009,2,3,233170
10,2392,2392.0,2392,3.0,968.0,2003,2,3,386250
9,2452,2452.0,2452,3.0,886.0,2003,2,3,445000
8,2400,1082.0,1105,3.0,730.0,2003,3,4,290000
8,1606,1598.0,1606,3.0,871.0,2006,2,3,255900
6,1358,1358.0,1358,2.0,484.0,2005,2,2,213000
6,1306,1306.0,1306,2.0,624.0,2005,2,1,196000
6,1306,1306.0,1306,2.0,624.0,2005,2,1,184500
7,1358,1350.0,1358,2.0,484.0,2007,2,2,212500
7,1314,1314.0,1314,2.0,626.0,2007,2,2,230000
10,2492,2492.0,2492,3.0,949.0,2004,2,2,552000
8,2200,2200.0,2200,3.0,685.0,2003,2,3,382500
9,1884,1884.0,1884,2.0,649.0,2008,2,2,320000
9,1456,1451.0,1456,2.0,539.0,2008,2,2,248500
8,1712,1712.0,1712,3.0,701.0,2002,2,3,286500
